Student Number,Science Act 1,Science Act 2,Science Act 3,English Act 1,English Act 2,English Act 3,Maths Act 1,Maths Act 2,Maths Act 3
20000000,45.0,41.0,37.0,10.0,41.0,31.0,30.0,23.0,33.0
20000001,21.0,20.0,13.0,45.0,38.0,46.0,35.0,32.0,40.0
20000002,40.0,50.0,32.0,41.0,29.0,17.0,37.0,19.0,45.0
20000003,48.0,46.0,44.0,46.0,30.0,37.0,41.0,23.0,26.0
20000004,34.0,42.0,37.0,32.0,10.0,16.0,26.0,50.0,31.0
20000005,47.0,40.0,40.0,29.0,18.0,29.0,,37.0,30.0
20000006,23.0,48.0,29.0,48.0,50.0,40.0,43.0,43.0,31.0
20000007,49.0,,28.0,44.0,33.0,32.0,34.0,42.0,43.0
20000008,43.0,41.0,41.0,33.0,37.0,37.0,37.0,38.0,22.0
20000009,38.0,46.0,24.0,47.0,49.0,36.0,49.0,50.0,39.0
20000010,32.0,37.0,46.0,12.0,38.0,32.0,50.0,46.0,30.0
20000011,39.0,14.0,16.0,38.0,35.0,41.0,47.0,42.0,46.0
20000012,34.0,25.0,18.0,34.0,30.0,50.0,34.0,49.0,37.0
20000013,45.0,36.0,31.0,30.0,35.0,36.0,36.0,31.0,12.0
20000014,36.0,42.0,11.0,42.0,49.0,31.0,38.0,48.0,35.0
20000015,19.0,30.0,32.0,46.0,39.0,41.0,41.0,41.0,39.0
20000016,50.0,46.0,,38.0,38.0,44.0,43.0,37.0,32.0
20000017,26.0,22.0,37.0,45.0,33.0,41.0,32.0,50.0,37.0
20000018,27.0,11.0,28.0,33.0,40.0,31.0,44.0,38.0,43.0
20000019,49.0,41.0,39.0,45.0,20.0,41.0,10.0,39.0,48.0
20000020,19.0,16.0,44.0,43.0,34.0,,34.0,41.0,33.0
20000021,48.0,50.0,32.0,41.0,17.0,34.0,36.0,13.0,32.0
20000022,50.0,47.0,39.0,33.0,10.0,27.0,18.0,48.0,40.0
20000023,38.0,38.0,30.0,17.0,27.0,,20.0,32.0,14.0
20000024,13.0,48.0,34.0,43.0,37.0,46.0,32.0,50.0,36.0
20000025,41.0,37.0,32.0,13.0,31.0,44.0,21.0,18.0,10.0
20000026,18.0,32.0,47.0,33.0,33.0,42.0,31.0,38.0,42.0
20000027,37.0,35.0,19.0,44.0,48.0,40.0,47.0,48.0,30.0
20000028,17.0,11.0,47.0,42.0,43.0,48.0,34.0,35.0,30.0
20000029,48.0,46.0,35.0,40.0,49.0,30.0,,31.0,49.0
20000030,45.0,19.0,14.0,47.0,45.0,35.0,47.0,49.0,42.0
20000031,35.0,43.0,29.0,32.0,33.0,42.0,38.0,37.0,47.0
20000032,34.0,13.0,23.0,46.0,38.0,34.0,39.0,39.0,47.0
20000033,49.0,41.0,33.0,32.0,48.0,46.0,44.0,49.0,37.0
20000034,37.0,37.0,49.0,31.0,,47.0,13.0,16.0,19.0
20000035,38.0,45.0,33.0,26.0,39.0,32.0,22.0,21.0,36.0
20000036,47.0,44.0,34.0,42.0,32.0,49.0,34.0,43.0,45.0
20000037,10.0,,11.0,33.0,48.0,35.0,32.0,33.0,46.0
20000038,20.0,42.0,10.0,44.0,50.0,40.0,36.0,41.0,34.0
20000039,25.0,34.0,43.0,48.0,32.0,37.0,41.0,41.0,42.0
20000040,40.0,40.0,13.0,33.0,37.0,48.0,50.0,47.0,43.0
20000041,48.0,32.0,31.0,12.0,19.0,37.0,,41.0,16.0
20000042,22.0,43.0,,32.0,31.0,33.0,38.0,42.0,42.0
20000043,35.0,46.0,47.0,,39.0,40.0,27.0,47.0,27.0
20000044,15.0,17.0,35.0,33.0,39.0,48.0,49.0,37.0,42.0
20000045,31.0,50.0,50.0,22.0,17.0,39.0,31.0,22.0,29.0
20000046,43.0,35.0,20.0,30.0,41.0,,47.0,43.0,37.0
20000047,,44.0,11.0,40.0,30.0,44.0,40.0,45.0,42.0
20000048,41.0,32.0,12.0,47.0,37.0,35.0,37.0,39.0,50.0
20000049,43.0,31.0,41.0,31.0,19.0,37.0,27.0,21.0,41.0
20000050,33.0,41.0,39.0,15.0,32.0,49.0,11.0,39.0,24.0
20000051,23.0,28.0,36.0,30.0,45.0,38.0,31.0,37.0,40.0
20000052,48.0,30.0,26.0,35.0,47.0,43.0,,37.0,33.0
